concept_id,magnitude
0,815.8865167144686
1,573.5674817804247
2,830.000905460678
3,685.5522655943641
4,559.662372267805
5,369.45614940696396
6,347.9957671230659
7,364.2760910722427
8,326.62538715219125
9,426.4161303166766
10,447.1301510115154
11,338.1595429049339
12,902.8454390186816
13,329.7963745670859
14,318.050113796955
15,476.26987787755206
16,449.5928465705365
17,373.71264254208654
18,1117.3270810358226
19,344.9729553263169
20,313.9536210903898
21,291.64222754212096
22,370.99384801927954
23,379.549818970263
24,357.6870012367144
25,353.91567402519286
26,309.86737554124556
27,396.0345407263376
28,372.5480239591561
29,443.23900794796646
30,331.10814091190696
31,342.10213382868096
32,358.422051244881
33,358.75977742439136
34,304.70337907678913
35,324.37738358508795
36,361.86724194907583
37,844.3206863487139
38,326.30844121729024
39,329.2623604822438
40,424.6940101722721
41,652.6588441720232
42,342.7788537903689
43,297.11611306201667
44,510.7719356594607
45,298.82373680826277
46,314.6241040478926
47,623.8742748512886
48,311.2326375832781
49,304.4767074037809
50,340.8471590736881
51,732.21966851037
52,448.4427514821291
53,308.5383235681802
54,433.5722969667986
55,401.4531160108745
56,304.18881768733263
57,359.0251193908043
58,272.9133265548153
59,721.1566602028906
60,486.26689965231344
61,288.05576714279596
62,282.3629774269648
63,317.07681651436724
64,463.35543156275526
65,290.648542288458
66,340.99447930639144
67,345.57279379852116
68,372.7606083531864
69,465.6244827983901
70,307.58908492396586
71,433.84953869110905
72,272.5056671532802
73,318.557662315201
74,250.26041510608047
75,273.6204332448542
76,415.29781005322
77,357.96991496603005
78,298.12114580371417
79,292.8334253318608
80,411.36927725188434
81,276.25194075051695
82,253.08913804474287
83,274.1085960995406
84,427.81631772825494
85,273.71476402436383
86,471.5530451592058
87,273.33558431547135
88,269.99151893425733
89,332.23684828099795
90,395.30273067578673
91,295.6706400937401
92,326.1113957474008
93,303.3749901012052
94,390.86400303267874
95,341.0495900698006
96,261.4292541835457
97,316.5670497007668
98,302.9793911348097
99,256.2959064117167
100,271.96161249058787
101,368.65924992389046
102,493.9386226069182
103,241.65786588005722
104,265.3317254045978
105,362.5794334788807
106,338.09712962945923
107,279.58499177754857
108,296.13332571065985
109,278.6566590499133
110,282.77865132060833
111,454.5176526964642
112,456.0257299714722
113,541.2276377996895
114,562.8695849943906
115,283.3108113287017
116,603.8105420181528
117,296.613168916665
118,409.10917609836906
119,305.6800113019999
120,570.3124092572834
121,372.20763424248435
122,266.48305500193965
123,267.7898946753703
124,390.8681025621481
125,345.07778583001345
126,276.3573047770187
127,263.0519123263657
128,547.6335537596606
129,267.075417351909
130,445.24818959552795
131,292.13816833728924
132,388.437527528964
133,371.7677361876704
134,236.88900047214702
135,377.82651270600036
136,556.6019196845591
137,310.1347527621547
138,281.0093709821813
139,275.29490176052786
140,306.9924018980237
141,351.130597329
142,319.0055274190381
143,294.4425663910806
144,248.6239181314595
145,397.1742826672271
146,294.2843653135933
147,257.4022994386032
148,247.2380640269257
149,334.2575444718823
150,279.00597852957435
151,548.4081670974847
152,278.990876091877
153,287.70297059230506
154,269.686005866155
155,296.6957934112288
156,399.38472751365043
157,258.3128416580148
158,257.66247936571017
159,239.97638065833598
160,386.9136990192346
161,555.7315825438127
162,290.1525516966358
163,468.87132778577507
164,351.67453258065507
165,605.0349156642333
166,340.3723580867518
167,243.5399572821334
168,331.9699607035145
169,235.19352051638998
170,266.54244245996233
171,275.76718501385767
172,465.4147962508723
173,232.1019129571505
174,297.1100861169398
175,386.5686378502287
176,237.87321894988418
177,237.12260417966172
178,251.3267016131431
179,310.22845243499614
180,561.6293289330788
181,391.1780564025976
182,332.56366568244994
183,302.0388841305394
184,313.9576895569917
185,248.15722372289747
186,410.7373848860152
187,287.10998289845884
188,347.1916138175875
189,257.19314367650077
190,358.794818690978
191,286.7112293303944
192,245.9433470144868
193,244.38615047140047
194,412.75543091632426
195,279.9407275225967
196,242.24241464352235
197,306.44473293516785
198,244.09652855759487
199,310.70770381303737
200,224.71077549189795
201,319.4931730898097
202,274.31086707673967
203,319.33594847889617
204,254.68112006946467
205,396.0636259140447
206,244.24476810637861
207,300.14961960795335
208,448.95676656556316
209,220.97482437663712
210,591.1372953560203
211,241.99777595163323
212,254.1215987331234
213,265.5269031021744
214,263.3278503078036
215,254.8568886143621
216,257.0985342699569
217,468.11017134413123
218,248.80241083167493
219,247.47600723942742
220,269.8130883020349
221,238.56470627337694
222,467.0593677099678
223,217.81066455796827
224,313.66675415681675
225,261.80846128053963
226,291.38024080055766
227,264.39279959443957
228,217.55399350635707
229,263.52060945075937
230,391.2380012709182
231,310.36207159399055
232,285.80560260172933
233,321.29141921876
234,544.1012742221355
235,421.6468072794378
236,280.23073771968484
237,337.64750470616855
238,267.8911895172205
239,220.54798776295502
240,234.24875549739227
241,217.75929113617167
242,250.88625469524413
243,311.7235359903425
244,317.45785062224604
245,479.13042493117973
246,235.43625742173754
247,218.71035570837557
248,226.54756187880412
249,410.79408051865175
250,284.2093854676932
251,275.60895534651354
252,352.1766384791117
253,242.3128445802722
254,303.0773640470579
255,259.16249053552747
256,227.91893313731998
257,292.54011175525375
258,253.19382180063985
259,287.18423541868106
260,249.24263573251665
261,749.2907892894
262,266.9586849762127
263,350.59142398205586
264,244.23547886754386
265,243.26669844752178
266,278.368938366184
267,239.05904056841973
268,239.58800481352955
269,290.8807273786515
270,529.141631907085
271,243.6167036506813
272,239.5081895524636
273,313.6833819311578
274,236.37399883195758
275,219.912294421345
276,344.2395077056717
277,498.40525960433297
278,231.96146661182866
279,239.29062405845616
280,235.37405330641195
281,226.73091061785817
282,216.39173536375165
283,231.94328097160906
284,346.4382343166508
285,263.7360738683492
286,222.9088151769247
287,346.0812750393525
288,288.16947360127233
289,254.8805730259046
290,249.9680659463629
291,232.84580451599322
292,255.90796401025727
293,379.1832186449319
294,321.603264701087
295,260.1197055170778
296,210.42546811024658
297,269.5724861929193
298,238.0579157578759
299,362.73980828747153
300,247.36935064778663
301,240.88394744112156
302,230.54415115667507
303,369.9873993594665
304,244.6041616240982
305,294.4507111418061
306,351.0624492689967
307,240.86165250651538
308,241.79347608983517
309,341.575403067749
310,274.83522757468745
311,237.89813788747415
312,244.15736948512495
313,306.7532343529165
314,230.2129452165682
315,228.602374474518
316,213.7083991288673
317,261.1351481763413
